Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,,,,,,,,,,,,
V27-58,73.54,-2.66,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.4,94.9,3.7,0,3.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,643,,,,,,,,,,,,
V28-28,73.48,-0.83,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.1,3.7,0,3.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.2,,,0,0,0,,630,,,,,,,,,,,,
GIK23510-1,73.45,-13.43,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,98.5,1,0,1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,601,,,,,,,,,,,,
GIK23291-1,73.39,1.49,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,11.1,88.2,0.5,0,0.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,405,,,,,,,,,,,,
GIK23511-2,73.22,-15.02,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.6,0,0,0,0,1.2,97.4,0.8,0,0.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1444,,,,,,,,,,,,
GIK23270-2,73.17,-0.82,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2.4,0,0,0,0,0,97.1,0.5,0,0.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,550,,,,,,,,,,,,
PS2627-5,73.15,-15.65,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0.9,97.2,1.7,0,1.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,906,,,,,,,,,,,,
V29-214,72.97,-6.98,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.9,96,2.4,0,2.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.7,,327,,,,,,,,,,,,
GIK23512-1,72.94,-13.42,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0.9,98.3,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1791,,,,,,,,,,,,
GIK23361-7,72.79,-7.53,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.1,98.7,0.2,0,0.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,702,,,,,,,,,,,,
GIK23293-1,72.62,-6.55,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0.8,98.2,0.7,0,0.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,873,,,,,,,,,,,,
PS1707-1,72.62,-13.84,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.1,0,0,0,0,0.7,96.7,1.5,0,1.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,543,,,,,,,,,,,,
V28-22,72.43,-13.65,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,97.2,2.5,0,2.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,469,,,,,,,,,,,,
GIK23506-1,72.39,-7.6,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0.4,98.4,1.1,0,1.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,882,,,,,,,,,,,,
GIK23294-3,72.38,-10.6,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.7,0.1,0,0,0,2.7,95.4,1.1,0,1.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,426,,,,,,,,,,,,
GIK23289-2,72.38,1.82,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9.7,89.3,1,0,1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,983,,,,,,,,,,,,
GIK23400-1,72.35,-7.81,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,1.3,95.7,2.9,0,2.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.1,,,0,0,0.1,,755,,,,,,,,,,,,
V28-37,72.23,-9.07,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,97.7,1.9,0,1.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,483,,,,,,,,,,,,
GIK23343-4,72.21,-12.1,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.6,0.4,0,0.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1103,,,,,,,,,,,,
V28-29,72.18,5.27,Nordic Seas,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,225,525,70,1,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,843,,,,,,,,,,,,
GIK23279-1,72.06,-0.23,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,1.1,98.3,0.4,0,0.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,332,,,,,,,,,,,,
GIK23277-1,72.04,-0.63,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,95.8,0.2,0,0.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,420,,,,,,,,,,,,
GIK23362-1,72.02,-7.59,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.5,0,0,0,0,1.2,98.2,0.1,0,0.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,536,,,,,,,,,,,,
GIK23267-2,72,4.99,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,23,61,13,0.3,13,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.7,,,0,0,0,,435,,,,,,,,,,,,
GIK23266-1,72,7.48,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,5.7,0,0,0,0.1,38.5,47.4,6.8,1.4,6.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0.1,0,0.1,,578,,,,,,,,,,,,
GIK23344-3,71.74,-15.58,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.1,99.6,0.3,0,0.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,613,,,,,,,,,,,,
GIK23478-2,71.63,-8.45,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.4,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,340,,,,,,,,,,,,
GIK23342-3,71.63,-8.41,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.7,0.3,0,0.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1038,,,,,,,,,,,,
GIK23371-1,71.63,-8.68,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.4,0,0,0,0,0.5,98.5,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,743,,,,,,,,,,,,
GIK23370-1,71.62,-8.68,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0.7,98.5,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1003,,,,,,,,,,,,
GIK23369-1,71.6,-8.53,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0.5,99,0.2,0,0.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,567,,,,,,,,,,,,
GIK23368-1,71.6,-8.49,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.3,97.9,0.8,0,0.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,664,,,,,,,,,,,,
GIK23269-2,71.45,0.66,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,18.9,66.2,12,0,12,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.8,,,0,0,0.1,,390,,,,,,,,,,,,
GIK23295-4,71.14,-5.99,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,2.1,95.6,1.4,0,1.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,889,,,,,,,,,,,,
GIK23363-1,70.96,-5.55,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,2,97.3,0.5,0,0.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,1097,,,,,,,,,,,,
GIK23477-1,70.96,-5.56,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,2.2,97,0.5,0,0.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,400,,,,,,,,,,,,
