Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
V19-240,-30.58,13.283,South Atlantic,0.3,0,0,4.1,4.1,0,0.3,0.3,,0,,0.3,0.3,3.8,10.7,0.3,0,0,0,0,21.3,3,21.3,,0,0,46.4,4.1,0.3,4.4,0,,2.1,0.6,,0,0,,0,0,0.3,,,0,0,1.5,,338
RC17-047,-31.07,14.7,South Atlantic,0,0,0,4,4,1,1,0,1,0,0,2,2,17,9,1,1,0,3,4,89,5,89,0,0,0,207,9,1,10,0,0,3,2,0,0,0,0,0,0,10,0,0,0,0,0,7,378
V18-34,-31.35,-36.817,South Atlantic,1.1,1.3,2.1,30.5,32.6,2.7,1.6,0.3,,0,,2.9,0.5,1.6,12.5,0.3,2.4,0,0.3,0,4.5,0.5,4.5,,0,0,10.3,1.3,3.7,5,0,,4,7.2,,0.5,0,,0.5,0,6.4,,,0,0,1.5,,377
V27-206,-31.36,-1.6882,South Atlantic,1.7,1.2,0,6.9,6.9,0,0.9,0.9,,0.7,,4.5,0.5,0.5,7.1,1.2,0,0,0,0.2,9.7,0.7,9.7,,0,0.2,45.2,2.1,5.4,7.5,0.5,,3.3,1.2,,0.7,0,,0.7,0,2.1,,,0,0,2.6,,423
GeoB1311-2,-31.51,-29.098,South Atlantic,0,3,2,29.2,31.2,2.3,2.2,1.4,,0.7,,4.7,2.1,13.3,0.8,0.5,0,0,0,0,0.6,0,0.6,,0,0,11,1.5,8.5,10,0.3,,3.6,5.9,,1.2,0,,1.2,0,4.9,,,0,0,0.1,,501
GeoB1310-1,-31.59,-28.903,South Atlantic,0.4,0.9,0.8,23.4,24.2,0,0.9,0.6,,0,,1.7,0.8,15,3,0.3,0.5,0,0.1,0.3,7.6,2.1,7.6,,0,0.1,16.7,5.7,2.9,8.6,0.5,,3.4,6.3,,0.1,0.1,,0.3,0,4.8,,,0,0,0.9,,768
V24-241,-31.60,-30.283,South Atlantic,1,0.2,1.7,30.4,32.1,0.5,0.7,0.5,,0,,1.7,0.5,1.7,17,0,0.2,0,0,0,4.1,0.2,4.1,,0,0,13.6,4.1,3.4,7.5,0.2,,5.1,3.6,,1.5,0,,1.5,0,4.9,,,0,0,3.2,,411
GeoB1312-3,-31.66,-29.657,South Atlantic,0.6,0.9,0.9,29.7,30.6,2.7,1.2,0.5,,0.3,,4.6,2.3,12.2,2.1,0.9,1,0.3,0,0,4.3,0.4,4.3,,0,0,10.6,3.2,5.6,8.9,0.1,,3.8,6.7,,0.1,0.1,,0.3,0.5,4.9,,,0.3,0,0,,788
GeoB1313-1,-31.66,-30.033,South Atlantic,0.4,1.3,1.4,29.1,30.5,3.2,1.6,0.4,,0.2,,2.1,2.7,14,0.8,0.7,0,0,0,0,5.1,0.8,5.1,,0,0,11.3,3.6,4.8,8.4,0.2,,7.4,5.4,,0.3,0,,0.2,0,3,,,0,0,0.3,,781
GeoB1309-3,-31.67,-28.665,South Atlantic,1,2,0,32.8,32.8,0,2.7,1.4,,0,,3,0.5,6.3,0.8,0.3,0,0,0,0.3,7.3,1.1,7.3,,0,0,17.3,6.4,7.9,14.3,0,,6.5,1.1,,0.6,0,,0.6,0.3,0.8,,,0,0,0,,510
RC11-37,-31.98,-35.533,South Atlantic,1.9,3.1,0.6,30.4,31,3.1,2.8,2.8,,0,,3.4,1.9,0.9,9.7,0.3,0.3,0,0,0,0.6,0.3,0.6,,0,0,14.4,0.6,6.6,7.2,0,,6,1.6,,0,0.6,,0.6,0,3.1,,,0,0,5,,319
V24-221,-32.03,-2.8167,South Atlantic,0.9,0.9,0,8.8,8.8,0.3,0.6,0.6,,0,,2.1,1.2,4.3,19.8,0.3,0,0,0.3,0.6,10.4,0,10.4,,0,0,24.4,6.7,5.2,11.9,0.6,,5.2,2.7,,0,0,,0,0,4,,,0,0,0.1,,328
V18-168,-32.17,-20.167,South Atlantic,0.2,2.3,0.2,20.1,20.3,0.5,0.7,0.2,,0.2,,1.9,0.2,2.3,21.5,0.2,0.5,0,0.2,0,5.8,0,5.8,,0,0,12.1,6.1,6.5,12.6,0,,6.3,5.6,,0.7,0,,0.7,0,4.4,,,0,0,1.3,,428
V24-237,-32.20,-26.733,South Atlantic,0,0.9,0.3,22,22.3,0,0.6,0,,0,,1.7,0.9,5.4,11.7,0.6,0,0,0,0.9,21.4,0,21.4,,0,0,15.1,4.6,2.6,7.2,0,,6.6,1.1,,0,0,,0,0,2.9,,,0,0,0.7,,350
V18-182,-32.33,15.017,South Atlantic,0.2,0,0,4.3,4.3,0,0.7,0.7,,0,,0.9,1.1,10.4,10.4,0.5,0.2,0,0.2,0.7,11.3,9.9,11.3,,0,0,34.3,4.3,0,4.3,0,,1.4,2,,0,0,,0,0,3.2,,,0,0,3.3,,443
GeoB1308-1,-32.79,-27.75,South Atlantic,0.2,1,0.4,20.2,20.6,1.1,1.4,0.2,,0.6,,2,2.5,13.5,1.7,0.4,0.6,0,0,0.1,11.2,1.8,11.2,,0,0,17.6,6.9,3.1,10,0.2,,4.3,5.8,,0,0,,0,0,3.4,,,0,0,0,,705
